year,ic_12m1m,signal_persistence,long_short_return,fund_return,momentum_benchmark_return,momentum_capture,tracking_error,information_ratio,n_stocks
2015,-0.052391634685488346,0.09406765461721947,-0.07011278423421362,NA,NA,NA,NA,NA,161
2016,-0.03171863787342911,0.05367097719271268,-0.03513489828372166,NA,NA,NA,NA,NA,162
2017,0.02068151748929607,0.0791808519057794,0.0037313202533865737,NA,NA,NA,NA,NA,164
2018,-0.08113457197805148,0.10942564161119502,-0.08129095230289125,NA,NA,NA,NA,NA,169
2019,0.031598402396924234,0.033547454020160725,0.023261104944648392,-0.014223259007511535,-0.00562258818512873,2.5296640157874006,0.019485558158901437,-1.472624944641062,163
2020,-0.008546817497126899,0.1598940631296037,-0.035579850758597154,-0.022984156051855775,-0.1357419517781755,0.16932242207195927,0.030876548375233136,0.2818485206521031,155
2021,-0.0690821723853154,0.12565836169258127,-0.08206934497799372,0.014156958140700837,-0.005000650168188403,-2.831023499856122,0.027604250164242807,0.08317566959090643,142
2022,-0.07877621162257355,0.22193044183816169,-0.042032001869826405,0.07157364064348726,0.04818055639252328,1.4855295580313006,0.024641199305845955,0.577885119387335,141
2023,-0.16508927523560885,0.16502832511923013,-0.18857571516195287,0.005296421281510089,-0.00681051838321467,-0.7776825468328148,0.0213148379916362,0.32397685959787165,136
2024,0.0404707103340336,0.1673269564663155,0.06645599912038314,0.008546656323080715,0.017579895872100293,0.486160804663494,0.019296016742031633,0.17403109855610382,129
2025,-0.011052105141576795,0.1893575496576933,-0.04363534034924558,-0.023111359882030058,-0.023022207138901907,1.0038724672482642,0.028518357151567596,-0.0031224952250018877,126
